# RC-L
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
9.480638e+03,2.367533e-02,1.072003e-04,8.717627e-01,5.229705e-03
9.679752e+03,2.308942e-02,1.305533e-04,8.744301e-01,3.739777e-03
9.883047e+03,2.253646e-02,9.752492e-05,8.765081e-01,4.554961e-03
1.009061e+04,2.198076e-02,6.781262e-05,8.775825e-01,4.573033e-03
1.030254e+04,2.140745e-02,7.973974e-05,8.784090e-01,2.918897e-03
1.051891e+04,2.084933e-02,7.974559e-05,8.782732e-01,3.341281e-03
1.073983e+04,2.029045e-02,6.491293e-05,8.767635e-01,2.659545e-03
1.096539e+04,1.970405e-02,1.033427e-04,8.734539e-01,3.945514e-03
1.119569e+04,1.915867e-02,5.676948e-05,8.695551e-01,2.802017e-03
1.143082e+04,1.858691e-02,5.171150e-05,8.637565e-01,1.781937e-03
1.167089e+04,1.804579e-02,5.330839e-05,8.568161e-01,3.262980e-03
1.191601e+04,1.748785e-02,8.221386e-05,8.490531e-01,5.402902e-03
1.216627e+04,1.690072e-02,1.044592e-04,8.410433e-01,1.061372e-03
1.242179e+04,1.643403e-02,3.355197e-05,8.256301e-01,3.849842e-03
1.268267e+04,1.590546e-02,6.174530e-05,8.108955e-01,7.078024e-03
1.294903e+04,1.539023e-02,7.483236e-05,7.950785e-01,7.447120e-03
1.322099e+04,1.488187e-02,7.733804e-05,7.774446e-01,3.942956e-03
1.349866e+04,1.446135e-02,7.683738e-05,7.564863e-01,5.315509e-03
1.378216e+04,1.400395e-02,1.184949e-04,7.339815e-01,7.942050e-03
1.407162e+04,1.361443e-02,6.983187e-05,7.092338e-01,6.550726e-03
1.436715e+04,1.319863e-02,1.316752e-04,6.809937e-01,8.073876e-03
1.466889e+04,1.284617e-02,9.227750e-05,6.521051e-01,7.270953e-03
1.497697e+04,1.252250e-02,1.026428e-04,6.180078e-01,9.910346e-03
1.529152e+04,1.219484e-02,9.494871e-05,5.860752e-01,1.122001e-02
1.561267e+04,1.196728e-02,1.179636e-04,5.492406e-01,8.946420e-03
1.594057e+04,1.163253e-02,9.796532e-05,5.076344e-01,8.996438e-03
1.627536e+04,1.142474e-02,4.204610e-05,4.643429e-01,5.726391e-03
1.661718e+04,1.139455e-02,1.696268e-04,4.349511e-01,1.159343e-02
1.696617e+04,1.120469e-02,1.205090e-04,3.942278e-01,1.029006e-02
1.732250e+04,1.117512e-02,1.126074e-04,3.512917e-01,1.052945e-02
1.768631e+04,1.112085e-02,8.654352e-05,3.088136e-01,1.061957e-02
1.805776e+04,1.109559e-02,1.451790e-04,2.698048e-01,7.803910e-03
1.843701e+04,1.109993e-02,7.679664e-05,2.298063e-01,1.086824e-02
1.882423e+04,1.115827e-02,1.354893e-04,1.909246e-01,6.820378e-03
1.921958e+04,1.126133e-02,6.468047e-05,1.536388e-01,1.018504e-02
1.962323e+04,1.129961e-02,1.029400e-04,1.191754e-01,9.576848e-03
2.003536e+04,1.146201e-02,1.141042e-04,8.109495e-02,5.041358e-03
2.045615e+04,1.161352e-02,1.651706e-04,4.975336e-02,6.343183e-03
